review_scores_rating,price,property_type,neighbourhood_cleansed,host_is_superhost,availability_30,availability_60,availability_90,instant_bookable,calculated_host_listings_count,reviews_per_month
93.0,90.0,Entire apartment,Haight Ashbury,f,0,0,9,f,1,0.61
100.0,125.0,Entire apartment,Russian Hill,t,30,60,90,f,16,0.03
97.0,160.0,Entire apartment,Parkside,t,8,26,56,t,1,4.3
98.0,140.0,Entire guest suite,Bernal Heights,t,14,43,73,t,1,2.19
91.0,756.0,Entire condominium,Russian Hill,f,29,59,89,f,4,0.4
94.0,280.0,Entire apartment,Mission,f,0,0,0,f,1,0.25
98.0,100.0,Private room in condominium,Mission,t,30,30,30,t,1,2.63
100.0,30.0,Shared room in house,Chinatown,f,0,0,0,f,21,0.01
98.0,60.0,Private room in house,Excelsior,f,0,2,32,t,1,1.97
95.0,230.0,Entire house,Bernal Heights,t,0,0,0,f,1,0.23
96.0,500.0,Entire house,Glen Park,f,30,60,90,f,1,1.07
89.0,204.0,Entire apartment,Potrero Hill,f,22,26,56,f,1,0.23
96.0,132.0,Entire apartment,Mission,t,30,60,90,f,1,1.79
96.0,375.0,Entire condominium,Western Addition,f,0,0,0,f,2,0.37
98.0,130.0,Private room in condominium,Western Addition,f,30,60,89,f,2,0.99
97.0,159.0,Entire apartment,Outer Mission,f,17,42,72,f,1,0.65
93.0,130.0,Entire apartment,Outer Richmond,t,30,60,90,f,2,1.67
94.0,128.0,Entire house,Potrero Hill,f,9,39,69,f,2,1.25
100.0,211.0,Entire house,Mission,f,6,36,57,f,2,0.16
96.0,103.0,Entire apartment,Mission,t,11,27,49,f,2,2.18
97.0,220.0,Entire apartment,Haight Ashbury,t,5,35,65,f,2,1.01
98.0,289.0,Entire guest suite,Marina,t,6,6,16,f,2,0.87
91.0,254.0,Entire house,Bayview,t,30,60,89,t,3,0.1
97.0,83.0,Entire apartment,Haight Ashbury,t,0,0,0,f,2,0.69
100.0,199.0,Entire bungalow,Castro/Upper Market,f,0,0,0,f,1,0.08
99.0,126.0,Entire apartment,Russian Hill,f,0,0,0,f,1,0.77
95.0,495.0,Entire apartment,Mission,t,0,0,0,f,2,0.47
97.0,75.0,Private room in house,Excelsior,f,30,60,90,f,1,0.32
100.0,85.0,Private room in house,Excelsior,t,29,59,89,t,1,0.67
99.0,449.0,Entire house,Bernal Heights,f,0,0,0,t,1,0.25
89.0,43.0,Private room in house,Excelsior,f,0,0,0,f,12,0.15
97.0,500.0,Entire house,Potrero Hill,t,2,27,57,t,1,0.34
90.0,369.0,Entire house,West of Twin Peaks,f,29,59,89,f,3,0.28
97.0,150.0,Private room in apartment,Nob Hill,t,11,18,47,t,4,1.04
96.0,109.0,Entire guest suite,Outer Richmond,t,0,1,1,f,2,7.97
97.0,119.0,Entire guest suite,Noe Valley,t,26,56,86,f,2,1.36
98.0,375.0,Entire house,Inner Richmond,f,0,0,0,f,1,0.24
99.0,150.0,Entire apartment,North Beach,f,18,48,78,f,1,0.21
97.0,95.0,Private room in house,Noe Valley,t,9,39,69,f,2,6.29
98.0,68.0,Private room in house,Outer Mission,t,0,0,0,f,1,3.71
100.0,550.0,Entire townhouse,Haight Ashbury,f,8,8,17,f,1,0.13
96.0,120.0,Entire condominium,Downtown/Civic Center,f,30,60,90,f,1,0.06
98.0,121.0,Entire apartment,Inner Sunset,f,0,8,36,t,2,0.4
100.0,280.0,Entire condominium,Western Addition,f,0,0,0,t,1,0.18
97.0,93.0,Private room in apartment,Haight Ashbury,t,0,0,0,t,3,0.97
100.0,1049.0,Entire house,Marina,f,26,56,86,f,1,0.09
96.0,99.0,Entire guest suite,Outer Richmond,t,0,0,0,f,2,7.27
97.0,105.0,Private room in house,Noe Valley,t,29,59,88,f,3,3.98
96.0,250.0,Entire apartment,Chinatown,f,30,60,90,f,3,0.24
99.0,452.0,Entire house,Bernal Heights,t,0,0,0,f,1,0.39
92.0,55.0,Private room in house,Mission,f,1,1,1,f,5,0.51
98.0,95.0,Private room in condominium,Western Addition,t,0,25,55,f,2,3.61
